iter	MultiClass
0	0.9149507589
1	0.8111219058
2	0.7488141135
3	0.7049071293
4	0.6763804045
5	0.6549384072
6	0.6395272752
7	0.6267345202
8	0.6167142115
9	0.6093334429
10	0.6021290811
11	0.5975516039
12	0.5920842114
13	0.5879163787
14	0.5854927466
15	0.5809871666
16	0.5778633476
17	0.5743160752
18	0.5706548355
19	0.5675195512
20	0.5645613933
21	0.5629310635
22	0.5614892393
23	0.559316726
24	0.5566928791
25	0.5545723518
26	0.5524493857
27	0.5497409469
28	0.5483773623
29	0.5469023144
30	0.5447085163
31	0.5416050515
32	0.53867584
33	0.5370657346
34	0.5349781453
35	0.5334396586
36	0.5315386008
37	0.5300786864
38	0.5288159967
39	0.5256681107
40	0.5238695321
41	0.5222635064
42	0.5207207075
43	0.5187741468
44	0.5170489808
45	0.5158736031
46	0.513297686
47	0.5120328952
48	0.5101814955
49	0.5087181612
50	0.5069362742
51	0.5042619606
52	0.5012648261
53	0.4999939986
54	0.4978314681
55	0.4951077545
56	0.4930474446
57	0.4918574237
58	0.4909698405
59	0.4884587686
60	0.4867668751
61	0.4846120914
62	0.4828704468
63	0.4807982895
64	0.4796846847
65	0.4781830251
66	0.4763554054
67	0.4729439885
68	0.4719362787
69	0.4702576337
70	0.4684088244
71	0.4659634416
72	0.4648521863
73	0.4625234915
74	0.4605793331
75	0.4589784284
76	0.4574316675
77	0.4560663431
78	0.4544136465
79	0.4520168858
80	0.4509843114
81	0.4500017991
82	0.4492194224
83	0.447978327
84	0.4470911676
85	0.4459685788
86	0.4445861781
87	0.4420535685
88	0.4406450372
89	0.4395865517
90	0.4385770573
91	0.4374358999
92	0.4359848677
93	0.4338847809
94	0.4320662644
95	0.4303846802
96	0.4291308825
97	0.4275672931
98	0.4255919558
99	0.4242895982
100	0.4225956049
101	0.4220963965
102	0.4213059977
103	0.4197243931
104	0.4180894917
105	0.4162393186
106	0.4158584409
107	0.4146142629
108	0.4132575998
109	0.4117000526
110	0.410683702
111	0.4096275873
112	0.4083906176
113	0.4072359845
114	0.405905493
115	0.4041282766
116	0.4023779446
117	0.4007197701
118	0.3997063147
119	0.3986242795
120	0.3970315189
121	0.396254389
122	0.3948147959
123	0.3931030354
124	0.3919978336
