iter	Passed	Remaining
0	35	35548
1	60	30001
2	86	28748
3	115	28878
4	140	28047
5	166	27647
6	193	27412
7	230	28619
8	255	28162
9	282	27971
10	311	28015
11	338	27856
12	365	27758
13	391	27547
14	415	27294
15	445	27421
16	471	27255
17	501	27355
18	534	27598
19	568	27870
20	610	28480
21	642	28552
22	675	28709
23	702	28559
24	729	28448
25	762	28560
26	791	28527
27	818	28414
28	855	28652
29	895	28967
30	929	29067
31	969	29342
32	1006	29500
33	1036	29459
34	1069	29499
35	1100	29475
36	1130	29421
37	1159	29351
38	1195	29449
39	1226	29447
40	1266	29627
41	1302	29698
42	1333	29672
43	1366	29694
44	1402	29762
45	1431	29698
46	1463	29672
47	1498	29721
48	1539	29885
49	1573	29895
50	1623	30202
51	1658	30231
52	1686	30135
53	1716	30077
54	1743	29959
55	1774	29908
56	1802	29823
57	1831	29749
58	1856	29609
59	1882	29489
60	1910	29416
61	1938	29330
62	1964	29221
63	1990	29111
64	2016	29013
65	2044	28926
66	2070	28826
67	2100	28793
68	2127	28711
69	2154	28622
70	2178	28502
71	2204	28415
72	2232	28354
73	2261	28296
74	2288	28229
75	2317	28175
76	2345	28119
77	2383	28171
78	2410	28099
79	2438	28039
80	2463	27954
81	2489	27871
82	2515	27795
83	2542	27726
84	2569	27662
85	2597	27609
86	2626	27561
87	2654	27507
88	2679	27431
89	2705	27354
90	2728	27257
91	2754	27189
92	2780	27116
93	2805	27044
94	2831	26978
95	2857	26910
96	2883	26847
97	2910	26786
98	2939	26749
99	2970	26730
100	3001	26718
101	3033	26709
102	3065	26700
103	3097	26684
104	3128	26665
105	3156	26620
106	3185	26585
107	3215	26554
108	3246	26537
109	3293	26644
110	3321	26604
111	3349	26556
112	3376	26505
113	3404	26455
114	3431	26407
115	3460	26369
116	3494	26371
117	3531	26398
118	3565	26393
119	3595	26368
120	3623	26320
121	3649	26264
122	3675	26206
123	3704	26168
124	3735	26151
